player_id;list_tournaments
P-42459;1982
P-76755;2002
P-69529;1986
P-17853;2018
P-11817;2006
P-29440;1986
P-54903;2006
P-02030;2022
P-67867;2014
P-46849;1954
P-79882;2014
P-10096;1970
P-03360;1986
P-35342;1962
P-52495;1950
P-70115;1970
P-67363;1950
P-18562;1986
P-13552;1990
P-03775;1978
P-10713;2010
P-01594;2018
P-41616;1994
P-03944;1978
P-50109;2002
P-74058;2010
P-21823;2010
P-84056;1986
P-98016;2014
P-08277;1958
P-30744;1966
P-91718;1994
P-56280;2014
P-44926;2006
P-04586;2015
P-79710;2014
P-82216;2022
P-23914;1950
P-39366;1950
P-65181;1970
P-92370;1938
P-19703;2019
P-14296;1986
P-10969;1982
P-66980;1966
P-91983;2018
P-90775;1958
P-77029;1998
P-42014;1958
P-18252;1998
P-57922;2018
P-53257;1966
P-84232;1934
P-82723;1990
P-28523;2003
P-49523;1966
P-87249;1962
P-92623;1950
P-16119;2014
P-71100;2018
P-47453;1930
P-96996;1982
P-97290;1958
P-01462;2002
P-05029;2002
P-80697;1994
P-58563;1990
P-80996;2022
P-28531;1934
P-66229;2006
P-51981;2014
P-58801;1970
P-31173;2014
P-47069;2019
P-49703;2019
P-97666;1994
P-22378;2006
P-69606;2014
P-46020;2018
P-62088;1950
P-36137;1982
P-40633;1986
P-33066;1974
P-70812;2014
P-23793;1991
P-57799;2019
P-97840;1998
P-22620;1998
P-42198;1962
P-30953;1970
P-16365;1950
P-50787;1994
P-78557;1998
P-81462;2019
P-14138;2010
P-03130;1934
P-15632;1990
P-16736;2022
P-22876;1998
P-35850;2014
P-48643;2002
P-53152;1986
P-15799;1950
P-35873;1990
P-82458;1998
P-16059;1994
P-88863;1998
P-38692;1978
P-24667;2022
P-69782;1950
P-96092;1962
P-47753;2010
P-27187;1934
P-77318;1930
P-93703;1974
P-90487;1970
P-05119;1950
P-24692;1950
P-36309;1950
P-76186;1930
P-07559;2002
P-51460;1950
P-69496;1950
P-80644;1954
P-76077;2014
P-54137;2018
P-35067;1974
P-25743;1978
P-53255;1954
P-28881;1978
P-98051;1998
P-30381;2010
P-90635;1986
P-49195;1998
P-91888;2002
P-15903;2011
P-94074;2019
P-08987;2015
P-09642;1966
P-43781;1978
P-85176;1998
P-06023;1991
P-62095;1934
P-19096;1934
P-90224;1962
P-41671;2010
P-32594;1998
P-14062;2002
P-49269;1990
P-53390;1974
P-03552;2010
P-34666;2007
P-95105;1966
P-87029;1995
P-07188;1974
P-60982;2019
P-50944;2006
P-12398;1986
P-06338;2018
P-37370;1974
P-38004;2010
P-34780;1954
P-94135;1930
P-61392;1930
P-50718;2006
P-39610;2018
P-69090;1958
P-77401;2011
P-57284;2002
P-57447;2006
P-49769;1999
P-77391;2018
P-76996;2019
P-25925;2022
P-69323;1970
P-81432;1954
P-71071;2018
P-72041;1938
P-67001;1966
P-37760;2006
P-44689;2014
P-19583;1950
P-09633;2018
P-98447;1995
P-19190;1986
P-53302;1954
P-06741;1950
P-22131;1950
P-65933;2019
P-94106;1990
P-02305;2018
P-87116;1958
P-17099;2022
P-61793;2002
P-26730;1994
P-04221;2014
P-67223;2003
P-96992;1990
P-13942;1982
P-66815;2018
P-56069;2022
P-17626;1982
P-85132;1998
P-19392;2015
P-88715;2018
P-56674;1934
P-59303;2022
P-65172;1974
P-86570;1950
P-91301;2010
P-98480;1982
P-90575;1994
P-96174;2006
P-18898;1970
P-73169;2002
P-87801;1970
P-54697;1930
P-02461;2010
P-33321;1930
P-86098;2006
P-46202;2011
P-13223;1954
P-67855;1974
P-14403;1990
P-57208;1974
P-49485;2002
P-28164;2015
P-42530;1986
P-44349;1974
P-60052;1998
P-58061;2022
P-59138;2010
P-77995;1934
P-18941;1990
P-92301;1938
P-98074;2014
P-18628;1930
P-65254;1938
P-51100;2010
P-53062;2006
P-36403;2007
P-46272;2018
P-22187;2002
